bin_label,date,avw,brightness
4.975-5.025,2024-12-10,567.7448295274258,1.7656934
4.975-5.025,2024-12-18,557.2069215705571,1.5114306
4.975-5.025,2024-12-26,552.5174435984459,1.0710826
4.975-5.025,2025-01-01,565.0895102818688,1.5745058
4.975-5.025,2025-01-09,565.4017619977628,1.8767798
4.975-5.025,2025-01-17,554.8229572325495,1.4480501
4.975-5.025,2025-01-25,547.2936997176739,0.8204766
4.975-5.025,2025-02-02,550.8604307418486,0.89415133
4.975-5.025,2025-02-10,555.9861174608754,1.3647919
4.975-5.025,2025-02-18,554.1975193090055,1.6342498
4.975-5.025,2025-02-26,556.5774590290392,1.4141886
4.975-5.025,2025-03-06,553.5725246931642,0.7000383
4.975-5.025,2025-03-14,565.1304732011097,2.0007648
4.975-5.025,2025-03-22,565.0542851609765,0.83543706
4.975-5.025,2025-03-30,562.0489652307757,1.4009182
4.975-5.025,2025-04-07,562.6750415099118,1.2810407
4.975-5.025,2025-04-15,547.676145533511,0.6373
4.975-5.025,2025-04-23,557.6723339063604,0.98179364
9.75-10.25,2024-03-05,587.6157985242731,1.1950802
9.75-10.25,2024-03-13,584.2201432796247,1.213141
9.75-10.25,2024-03-21,597.3498651799024,2.2282634
9.75-10.25,2024-03-29,578.9797405774614,1.0369315
9.75-10.25,2024-04-06,584.1822645017123,1.5620087
9.75-10.25,2024-04-14,591.7372055927239,1.8401221
9.75-10.25,2024-04-22,574.8857705579702,0.92799395
9.75-10.25,2024-04-30,568.4275659740935,0.9189723
9.75-10.25,2024-05-08,573.2658068138596,1.1141429
9.75-10.25,2024-05-16,566.305768926907,0.9670174
9.75-10.25,2024-05-24,582.151273954488,0.85393906
9.75-10.25,2024-06-01,569.7319890527581,1.0988923
9.75-10.25,2024-06-09,567.339472872186,1.1571612
9.75-10.25,2024-06-17,562.6299208764311,1.2689198
9.75-10.25,2024-06-25,574.5374887268188,1.1569109
9.75-10.25,2024-07-03,567.2027861377895,1.2077043
9.75-10.25,2024-07-11,556.124741661287,0.97221994
9.75-10.25,2024-07-19,573.636172285153,1.2684953
9.75-10.25,2024-07-27,559.1237754402918,0.90606356
9.75-10.25,2024-08-04,542.0644034981455,0.503747
9.75-10.25,2024-08-12,564.3034069693931,0.7955337
9.75-10.25,2024-08-20,568.1312643375071,0.9505322
9.75-10.25,2024-08-28,555.0865376044269,0.676378
9.75-10.25,2024-09-05,575.4318925209767,0.77308047
9.75-10.25,2024-09-13,574.944660125983,0.728349
9.75-10.25,2024-09-21,572.2617184922625,0.95596457
9.75-10.25,2024-09-29,569.3472812048702,0.7785685
9.75-10.25,2024-10-07,583.359210201682,1.1185956
9.75-10.25,2024-10-15,578.1908921273744,0.80850023
9.75-10.25,2024-10-23,577.5826962327623,0.81551194
9.75-10.25,2024-10-31,579.8200420531722,0.90747845
9.75-10.25,2024-11-08,587.5678059362591,0.98489416
9.75-10.25,2024-11-16,583.887634958873,0.8629534
9.75-10.25,2024-11-24,584.5166075219114,1.141924
9.75-10.25,2024-12-02,580.7831116062509,1.2451224
9.75-10.25,2024-12-10,578.0991796959745,0.9509569
